ja	uz
BSD系	BSD oilasi
Bash・coreutils	Bash / coreutils
CLI関連プログラム	CLI programlari
CPU・メモリ・ファイル・通信	CPU / xotira / file / aloqa
CloudShellのユーザー	CloudShell useri
GNUツール群	GNU vositalari
GUI関連プログラム	GUI programlari
HTTPクライアント	HTTP client
HTTP要求	HTTP request
IPアドレス + ポート	IP address + port
Linuxカーネル	Linux kernel
Linuxディストリビューション	Linux distributionlari
OSの基盤を準備	OS asosini tayyorlaydi
SSH・Web・DB	SSH / Web / DB
UIDが一致 → 所有者 u	UID mos → owner u
UID不一致・GID一致 → グループ g	UID mos emas; GID mos → group g
Ubuntuサーバー	Ubuntu server
Ubuntuディストリビューション	Ubuntu distributioni
Unix系・Unix互換系	Unix-like tizimlar
Webサービスのプロセス	Web service processi
Windows NTカーネル	Windows NT kernel
Windows NT系	Windows NT oilasi
Windowsのシェル	Windows shelli
cmd.exe・PowerShell	cmd.exe / PowerShell
jduviewerグループ	jduviewer group
jduwriterグループ	jduwriter group
journalログ	journal log
ops共有グループ	umumiy ops group
r / w / xを確認	r / w / x ni tekshir
setgidあり	setgid bor
setgidなし	setgid yo‘q
ssm-userグループ	ssm-user group
systemd・APT・設定	systemd / APT / sozlamalar
unitファイル	unit file
あり	bor
どちらも不一致 → その他 o	Ikkalasi ham mos emas → others o
なし	yo‘q
アップロード	upload
アプリケーション	ilova
アプリケーション・サービス	ilovalar / servicelar
インストール済みプログラム	o‘rnatilgan program
ウィンドウ・ボタン	oyna / tugma
カーネル	kernel
カーネルを読み込む	kernelni yuklaydi
カーネル空間	kernel space
カーネル資源	kernel resurslari
キーボード	klaviatura
クライアント	client
グループ	group
グループ jduwriter	group jduwriter
グループ ops	group ops
コマンド	command
コマンドのプロセス	command processi
コマンド体系・パス・	commandlar / pathlar /
サーバー	server
サーバーアプリケーション	server ilovasi
サーバー上のファイル	serverdagi filelar
サービス	service
サービスプロセス	service processi
サービス群	servicelar
シェル	shell
ターミナル	terminal
ダウンロード	download
ディスク上の実行ファイル	diskdagi bajariladigan file
ネットワーク上の利用者	tarmoqdagi user
ネットワーク管理	tarmoq boshqaruvi
ネットワーク装置	tarmoq qurilmasi
ハードウェア	apparat qismlari
ハードウェアまたは仮想マシン	apparat yoki virtual mashina
ハードウェアを初期化	apparatni tayyorlaydi
パソコン	shaxsiy kompyuter
パッケージ	package
パッケージを導入する処理	package o‘rnatish
ファイルの所有者UID・GID・mode	file egasi UID / GID / mode
ファイルへ保存	filega yozish
ファイル管理	file boshqaruvi
ファームウェア	firmware
ブラウザ	brauzer
ブートローダー	bootloader
プライマリ	primary
プライマリグループ jduwriter	primary group jduwriter
プログラム	program
プロセス	process
プロセスのUIDとGID群	process UID va GIDlari
プロセス管理	process boshqaruvi
ホスト公開鍵を確認	host public keyni tekshiradi
ホスト名	hostname
ホスト秘密鍵を保管	host private keyni saqlaydi
ホームディレクトリ	home directory
メモリ	xotira
メモリ管理	xotira boshqaruvi
ユーザー	user
ユーザー・グループ	user / group
ユーザー公開鍵で認証	user public key bilan tekshiradi
ユーザー秘密鍵を保管	user private keyni saqlaydi
ユーザー空間	user space
ユーザー空間の主要な道具	user space vositalari
ライブラリ・コマンド・シェル	kutubxonalar / command / shell
リポジトリのパッケージ情報	repository package ma’lumoti
リポジトリのパッケージ本体	repositorydagi packagelar
リモート	remote
ローカル	local
ローカルのパッケージ一覧	local package index
ローカルファイル	local filelar
ローカルユーザー	local user
一覧を更新する処理	indexni yangilash
互換環境の目標	mos muhit maqsadi
作成して待ち受け	yaratadi va kutadi
使用するpermission classを1つ選ぶ	bitta permission class tanla
保存された設定	saqlangan sozlama
保存された設定とデータ	saqlangan sozlama va ma’lumot
入力ファイル	kirish filei
公開コンテンツ	beriladigan kontent
公開ファイル	beriladigan file
共有ディレクトリ	umumiy directory
出力先	chiqish manzili
判定結果	natija
