ja	ru
BSD系	семейство BSD
Bash・coreutils	Bash / coreutils
CLI関連プログラム	программы CLI
CPU・メモリ・ファイル・通信	CPU / память / файлы / связь
CloudShellのユーザー	пользователь CloudShell
GNUツール群	инструменты GNU
GUI関連プログラム	программы GUI
HTTPクライアント	HTTP-клиент
HTTP要求	HTTP-запрос
IPアドレス + ポート	IP-адрес + порт
Linuxカーネル	ядро Linux
Linuxディストリビューション	дистрибутивы Linux
OSの基盤を準備	готовит основу ОС
SSH・Web・DB	SSH / Web / БД
UIDが一致 → 所有者 u	UID совпадает → владелец u
UID不一致・GID一致 → グループ g	UID не совпадает, GID совпадает → группа g
Ubuntuサーバー	сервер Ubuntu
Ubuntuディストリビューション	дистрибутив Ubuntu
Unix系・Unix互換系	Unix-подобные системы
Webサービスのプロセス	процесс веб-службы
Windows NTカーネル	ядро Windows NT
Windows NT系	семейство Windows NT
Windowsのシェル	оболочка Windows
cmd.exe・PowerShell	cmd.exe / PowerShell
jduviewerグループ	группа jduviewer
jduwriterグループ	группа jduwriter
journalログ	системный журнал
ops共有グループ	общая группа ops
r / w / xを確認	проверка r / w / x
setgidあり	setgid включён
setgidなし	setgid выключен
ssm-userグループ	группа ssm-user
systemd・APT・設定	systemd / APT / настройки
unitファイル	файл юнита
あり	есть
どちらも不一致 → その他 o	оба не совпали → остальные o
なし	нет
アップロード	загрузка на сервер
アプリケーション	приложение
アプリケーション・サービス	приложения / службы
インストール済みプログラム	установленная программа
ウィンドウ・ボタン	окна / кнопки
カーネル	ядро
カーネルを読み込む	загружает ядро
カーネル空間	пространство ядра
カーネル資源	ресурсы ядра
キーボード	клавиатура
クライアント	клиент
グループ	группа
グループ jduwriter	группа jduwriter
グループ ops	группа ops
コマンド	команда
コマンドのプロセス	процесс команды
コマンド体系・パス・	команды / пути /
サーバー	сервер
サーバーアプリケーション	серверное приложение
サーバー上のファイル	файлы на сервере
サービス	служба
サービスプロセス	процесс службы
サービス群	службы
シェル	оболочка
ターミナル	терминал
ダウンロード	скачивание
